id,date,prix,ville,nombre_lots,lot1_surface1,lot2_surface1,lot3_surface1,lot4_surface1,lot5_surface1,type,surface2,nombre_pieces,nature_culture,surface_terrain
503,2018-05-15,560000.0,C,3,,92.74,,,,Appartement,93.0,3.0,,
504,2017-09-27,510000.0,D,1,52.26,,,,,Appartement,50.0,2.0,,
505,2019-04-18,276900.0,B,0,,,,,,Maison,140.0,6.0,sols,625.0
506,2016-02-29,423000.0,D,2,49.73,,,,,Appartement,48.0,2.0,,
507,2018-04-13,208000.0,B,0,,,,,,Maison,85.0,4.0,sols,678.0
508,2016-02-19,80000.0,B,0,,,,,,Maison,92.0,5.0,sols,286.0
509,2019-10-14,122500.0,A,0,,,,,,Maison,116.0,7.0,sols,543.0
510,2016-06-15,1018000.0,C,2,96.0,,,,,Appartement,92.0,3.0,,
511,2017-06-07,36000.0,C,1,,,,,,Dépendance,,0.0,,
512,2017-11-27,676900.0,C,2,,62.05,,,,Appartement,60.0,2.0,,
513,2018-11-27,15000.0,D,1,,,,,,Appartement,84.0,1.0,,
514,2015-07-02,250900.0,D,2,28.81,,,,,Appartement,25.0,2.0,,
515,2015-12-21,35000.0,C,1,6.43,,,,,Dépendance,,0.0,,
516,2018-08-13,17000.0,B,1,11.6,,,,,Appartement,16.0,1.0,,
517,2018-08-07,230000.0,C,1,,,,,,Appartement,40.0,2.0,,
518,2015-03-03,170000.0,B,0,,,,,,Maison,112.0,5.0,sols,320.0
519,2015-03-03,116000.0,D,1,10.88,,,,,Dépendance,,0.0,,
520,2019-08-02,90000.0,D,1,7.79,,,,,Dépendance,,0.0,,
521,2015-12-23,110000.0,D,1,11.38,,,,,Appartement,11.0,1.0,,
522,2018-01-26,870650.0,C,3,84.41,,,,,Local industriel. commercial ou assimilé,86.0,0.0,,
523,2018-03-29,190000.0,D,1,23.52,,,,,Appartement,22.0,1.0,,
524,2019-01-11,1015000.0,D,1,85.26,,,,,Appartement,90.0,3.0,,
525,2018-10-19,2890000.0,D,0,,,,,,Maison,246.0,11.0,sols,106.0
526,2017-11-09,25000.0,B,1,,,,,,Dépendance,,0.0,,
527,2018-02-16,95000.0,B,2,58.95,,,,,Appartement,57.0,3.0,,
528,2015-12-09,102000.0,B,0,,,,,,Maison,63.0,4.0,sols,173.0
529,2019-07-27,77000.0,A,0,,,,,,Maison,76.0,3.0,sols,604.0
530,2017-02-14,415000.0,D,2,,53.32,,,,Appartement,53.0,2.0,,
531,2017-06-14,25000.0,C,1,,,,,,Dépendance,,0.0,,
532,2017-11-24,155000.0,B,2,60.14,,,,,Appartement,65.0,2.0,,
533,2016-11-30,961000.0,D,2,,90.05,,,,Appartement,92.0,3.0,,
534,2019-07-19,477000.0,C,2,41.22,,,,,Appartement,41.0,1.0,,
535,2019-08-07,300000.0,D,3,,25.08,,,,Appartement,19.0,1.0,,
536,2018-07-03,450000.0,C,2,32.1,,,,,Appartement,30.0,1.0,,
537,2016-09-13,107000.0,D,1,12.43,,,,,Dépendance,,0.0,,
538,2016-03-19,237000.0,B,0,,,,,,Maison,137.0,7.0,sols,810.0
539,2016-09-28,273390.0,D,1,29.5,,,,,Appartement,28.0,1.0,,
540,2015-12-15,450000.0,D,1,53.35,,,,,Local industriel. commercial ou assimilé,263.0,0.0,,
541,2019-07-18,920000.0,D,2,,,,,,Appartement,79.0,4.0,,
542,2016-11-05,87000.0,B,1,52.41,,,,,Appartement,62.0,3.0,,
543,2019-06-20,956600.0,D,3,72.2,,,,,Appartement,70.0,3.0,,
544,2017-10-28,135000.0,B,0,,,,,,Maison,99.0,5.0,sols,349.0
545,2017-09-26,704100.0,D,2,,73.27,,,,Appartement,73.0,3.0,,
546,2019-03-30,185000.0,B,0,,,,,,Maison,180.0,5.0,sols,678.0
547,2019-05-28,480000.0,C,1,55.31,,,,,Local industriel. commercial ou assimilé,87.0,0.0,,
548,2019-01-18,1144780.0,D,2,,100.89,,,,Appartement,100.0,4.0,,
549,2017-07-27,80000.0,C,1,,,,,,Dépendance,,0.0,,
550,2018-10-16,350000.0,C,2,30.01,,,,,Appartement,30.0,1.0,,
551,2018-06-04,267500.0,B,0,,,,,,Maison,128.0,4.0,sols,533.0
552,2017-07-21,1840000.0,D,4,,,,,,Appartement,204.0,6.0,,
553,2015-06-23,1050000.0,D,2,,92.22,,,,Appartement,91.0,3.0,,
554,2017-03-23,800000.0,D,2,,90.66,,,,Appartement,90.0,4.0,,
555,2016-11-14,41000.0,C,1,,,,,,Dépendance,,0.0,,
556,2018-07-18,1283800.0,D,2,114.95,,,,,Appartement,118.0,5.0,,
557,2015-04-15,373800.0,C,2,31.84,,,,,Appartement,44.0,3.0,,
558,2018-05-31,710000.0,D,1,56.18,,,,,Appartement,60.0,3.0,,
559,2019-11-28,455900.0,D,2,,43.1,,,,Appartement,45.0,1.0,,
560,2016-11-30,410000.0,C,1,51.66,,,,,Appartement,58.0,2.0,,
561,2017-07-07,332800.0,D,2,37.23,,,,,Dépendance,,0.0,,
562,2019-09-13,482650.0,C,1,38.6,,,,,Appartement,36.0,1.0,,
563,2015-01-27,80000.0,D,1,37.01,,,,,Appartement,42.0,1.0,,
564,2018-04-09,40000.0,D,1,5.13,,,,,Dépendance,,0.0,,
565,2015-03-02,765000.0,D,1,86.01,,,,,Appartement,86.0,4.0,,
566,2017-10-20,1849100.0,D,1,167.0,,,,,Appartement,165.0,5.0,,
567,2015-06-22,920000.0,D,2,,75.42,,,,Appartement,75.0,3.0,,
568,2016-03-23,475000.0,C,2,34.03,,,,,Appartement,34.0,1.0,,
569,2016-07-23,59000.0,A,0,,,,,,Maison,91.0,4.0,sols,690.0
570,2017-08-23,78000.0,B,2,69.33,,,,,Appartement,67.0,4.0,,
571,2017-07-08,276400.0,B,0,,,,,,Maison,175.0,7.0,sols,388.0
572,2019-10-04,295000.0,D,1,,,,,,Appartement,34.0,1.0,,
573,2017-03-08,44000.0,B,2,45.04,,,,,Appartement,44.0,2.0,,
574,2019-09-27,49000.0,B,3,35.11,,,,,Appartement,36.0,2.0,,
575,2017-07-27,75000.0,D,1,,,,,,Dépendance,,0.0,,
576,2016-09-01,1193500.0,D,1,122.02,,,,,Appartement,115.0,4.0,,
577,2019-11-29,57500.0,C,1,,,,,,Dépendance,,0.0,,
578,2018-06-15,1100000.0,D,2,,73.29,,,,Appartement,73.0,3.0,,
579,2016-09-07,400000.0,D,2,,44.24,,,,Appartement,45.0,2.0,,
580,2015-07-21,502000.0,C,2,47.96,,,,,Appartement,49.0,3.0,,
581,2015-09-28,260000.0,D,1,29.05,,,,,Appartement,25.0,1.0,,
582,2018-06-20,360000.0,C,1,27.63,,,,,Appartement,27.0,1.0,,
583,2017-12-21,158000.0,A,0,,,,,,Maison,99.0,3.0,sols,642.0
584,2015-10-12,122800.0,C,1,9.69,,,,,Appartement,16.0,1.0,,
585,2015-12-22,120000.0,C,1,10.02,,,,,Appartement,12.0,1.0,,
586,2019-05-16,1100000.0,C,2,104.16,,,,,Appartement,99.0,4.0,,
587,2018-03-27,48000.0,B,1,49.1,,,,,Appartement,49.0,2.0,,
588,2016-04-05,150000.0,D,1,27.75,,,,,Appartement,29.0,1.0,,
589,2018-03-02,30000.0,D,1,,,,,,Dépendance,,0.0,,
590,2019-01-18,120000.0,D,1,11.4,,,,,Dépendance,,0.0,,
591,2018-01-20,42000.0,B,2,,34.27,,,,Appartement,34.0,2.0,,
592,2019-01-02,140000.0,B,0,,,,,,Maison,81.0,4.0,sols,345.0
593,2018-02-28,8000000.0,D,0,,,,,,Maison,359.0,9.0,sols,445.0
594,2015-01-10,40000.0,B,1,,,,,,Appartement,80.0,2.0,,
595,2019-07-15,1700000.0,C,3,156.64,,,,,Appartement,130.0,4.0,,
596,2019-10-04,42000.0,B,1,25.92,,,,,Appartement,30.0,1.0,,
597,2018-03-22,280000.0,D,1,32.9,,,,,Appartement,32.0,2.0,,
598,2017-04-28,340000.0,B,0,,,,,,Maison,115.0,4.0,sols,215.0
599,2017-01-20,2450000.0,C,3,181.24,,,,,Appartement,185.0,6.0,,
600,2019-07-01,2007650.0,D,3,152.25,,,,,Appartement,143.0,6.0,,
601,2019-10-03,20000.0,D,1,,,,,,Dépendance,,0.0,,
602,2018-05-18,660000.0,D,2,60.07,,,,,Appartement,56.0,3.0,,
603,2018-05-15,355000.0,D,2,34.5,,,,,Appartement,80.0,3.0,,
604,2017-10-24,684000.0,C,3,55.48,,,,,Appartement,55.0,3.0,,
605,2017-06-20,52000.0,B,2,54.65,,,,,Appartement,55.0,3.0,,
606,2017-09-27,1050000.0,C,1,93.91,,,,,Local industriel. commercial ou assimilé,114.0,0.0,,
607,2015-09-08,840000.0,D,2,83.35,,,,,Appartement,84.0,4.0,,
608,2017-10-20,235000.0,D,2,17.6,21.0,,,,Appartement,40.0,2.0,,
609,2015-11-14,265000.0,C,2,20.35,,,,,Appartement,15.0,1.0,,
610,2019-06-04,379245.0,D,1,33.79,,,,,Appartement,30.0,3.0,,
611,2017-11-24,460000.0,D,1,55.33,,,,,Appartement,55.0,2.0,,
612,2016-06-11,55000.0,A,0,,,,,,Maison,70.0,3.0,sols,231.0
613,2018-09-05,43000.0,B,2,,,,,,Appartement,80.0,3.0,,
614,2018-11-20,900000.0,C,2,96.68,,,,,Appartement,92.0,3.0,,
615,2015-01-27,520000.0,C,2,42.79,,,,,Appartement,50.0,2.0,,
616,2018-08-22,46600.0,B,1,32.9,,,,,Appartement,32.0,2.0,,
617,2019-10-18,510000.0,D,2,,47.2,,,,Appartement,46.0,2.0,,
618,2015-03-03,152500.0,B,0,,,,,,Maison,112.0,5.0,sols,506.0
619,2018-12-21,135000.0,D,2,,15.68,,,,Appartement,25.0,1.0,,
620,2016-03-16,800000.0,D,2,,110.37,,,,Appartement,100.0,4.0,,
621,2018-09-13,861000.0,D,2,,,,,,Appartement,75.0,3.0,,
622,2017-12-07,70000.0,D,1,,,,,,Dépendance,,0.0,,
623,2016-01-05,58000.0,B,2,49.0,,,,,Appartement,50.0,2.0,,
624,2015-01-19,272000.0,C,1,33.0,,,,,Appartement,32.0,2.0,,
625,2015-01-19,205000.0,A,0,,,,,,Maison,120.0,7.0,sols,616.0
626,2016-08-23,55000.0,B,2,,52.62,,,,Appartement,52.0,2.0,,
627,2017-06-15,615000.0,D,1,69.2,,,,,Appartement,67.0,3.0,,
628,2016-10-17,1105500.0,D,2,136.0,,,,,Appartement,145.0,4.0,,
629,2017-03-03,257208.0,D,2,52.02,,,,,Appartement,48.0,2.0,,
630,2016-02-24,470000.0,D,2,75.76,,,,,Appartement,87.0,4.0,,
631,2018-01-10,64000.0,D,1,,,,,,Dépendance,,0.0,,
632,2019-07-04,204000.0,D,1,17.6,,,,,Dépendance,,0.0,,
633,2019-01-18,65000.0,C,1,7.97,,,,,Appartement,18.0,1.0,,
634,2017-03-23,52000.0,A,0,,,,,,Maison,42.0,2.0,sols,297.0
635,2015-08-08,30000.0,B,2,16.74,,,,,Appartement,26.0,2.0,,
636,2015-03-06,860000.0,D,2,103.54,,,,,Appartement,102.0,4.0,,
637,2015-11-13,110000.0,A,0,,,,,,Maison,123.0,6.0,sols,635.0
638,2019-03-12,520000.0,D,1,61.02,,,,,Appartement,58.0,2.0,,
639,2018-11-29,500150.0,D,2,31.6,,,,,Appartement,30.0,2.0,,
640,2019-12-05,1355000.0,D,1,105.03,,,,,Appartement,110.0,4.0,,
641,2017-07-27,117150.0,B,0,,,,,,Maison,96.0,5.0,sols,444.0
642,2016-06-10,299985.0,D,1,27.5,,,,,Appartement,30.0,1.0,,
643,2016-12-28,730000.0,D,2,93.75,,,,,Appartement,91.0,4.0,,
644,2016-07-04,468575.0,D,2,,50.5,,,,Appartement,52.0,3.0,,
645,2015-07-31,2600000.0,C,1,230.67,,,,,Local industriel. commercial ou assimilé,258.0,0.0,,
646,2017-05-06,61000.0,B,1,46.25,,,,,Appartement,50.0,3.0,,
647,2018-03-09,1385000.0,C,2,,103.23,,,,Appartement,100.0,3.0,,
648,2017-05-19,370000.0,B,0,,,,,,Maison,273.0,12.0,sols,159.0
649,2018-12-19,254000.0,C,1,14.1,,,,,Appartement,14.0,1.0,,
650,2017-04-25,1475000.0,C,2,,174.59,,,,Appartement,150.0,4.0,,
651,2018-12-29,120000.0,B,1,67.05,,,,,Appartement,68.0,2.0,,
652,2018-04-16,45000.0,B,1,,,,,,Appartement,34.0,2.0,,
653,2016-08-24,120000.0,C,1,,,,,,Local industriel. commercial ou assimilé,68.0,0.0,,
654,2018-05-30,60000.0,D,1,,,,,,Dépendance,,0.0,,
655,2015-12-22,1110000.0,C,1,48.02,,,,,Appartement,51.0,1.0,,
656,2017-02-21,85000.0,D,1,8.81,,,,,Dépendance,,0.0,,
657,2019-09-10,1121000.0,D,2,,83.66,,,,Appartement,81.0,4.0,,
658,2015-12-28,2080000.0,C,3,,,,,,Appartement,168.0,7.0,,
659,2018-02-14,740800.0,D,2,,69.91,,,,Appartement,69.0,2.0,,
660,2018-10-01,460000.0,D,1,45.87,,,,,Appartement,53.0,2.0,,
661,2019-08-09,335000.0,D,2,30.75,,,,,Appartement,32.0,1.0,,
662,2019-02-13,103000.0,D,1,9.17,,,,,Dépendance,,0.0,,
663,2017-09-27,2500000.0,C,2,205.09,,,,,Local industriel. commercial ou assimilé,205.0,0.0,,
664,2018-09-12,90000.0,B,1,43.07,,,,,Appartement,42.0,2.0,,
665,2015-02-20,121000.0,A,0,,,,,,Maison,82.0,4.0,sols,513.0
666,2015-02-16,385000.0,D,1,49.66,,,,,Appartement,45.0,2.0,,
667,2018-09-06,1795000.0,D,1,167.0,,,,,Appartement,165.0,6.0,,
668,2015-09-12,170000.0,C,2,,,,,,Appartement,37.0,3.0,,
669,2015-04-10,50000.0,D,1,,,,,,Dépendance,,0.0,,
670,2017-04-13,736200.0,D,2,77.26,,,,,Appartement,82.0,4.0,,
671,2018-05-03,80000.0,D,1,,,,,,Dépendance,,0.0,,
672,2017-12-05,80000.0,B,2,,52.48,,,,Appartement,52.0,2.0,,
673,2016-10-13,397150.0,D,2,,46.02,,,,Appartement,46.0,2.0,,
674,2019-03-29,100000.0,B,1,74.55,,,,,Local industriel. commercial ou assimilé,76.0,0.0,,
675,2019-07-23,963000.0,D,2,,88.49,,,,Appartement,95.0,3.0,,
676,2018-11-07,93000.0,B,2,,,,,,Appartement,67.0,3.0,,
677,2019-10-16,515000.0,C,5,,30.78,,,,Local industriel. commercial ou assimilé,30.0,0.0,,
678,2016-09-21,1330000.0,C,1,131.83,,,,,Local industriel. commercial ou assimilé,114.0,0.0,,
679,2019-02-04,280000.0,D,3,32.91,,,,,Appartement,35.0,2.0,,
680,2017-11-20,498400.0,D,2,57.68,,,,,Appartement,59.0,2.0,,
681,2017-04-14,960000.0,C,2,,104.01,,,,Appartement,105.0,4.0,,
682,2017-10-05,248076.92,D,1,26.94,,,,,Appartement,25.0,1.0,,
683,2016-01-07,55000.0,B,2,61.42,,,,,Appartement,62.0,3.0,,
684,2018-05-23,1270000.0,D,2,,134.53,,,,Appartement,134.0,5.0,,
685,2018-08-21,83000.0,B,0,,,,,,Local industriel. commercial ou assimilé,133.0,0.0,sols,86.0
686,2019-02-13,20000.0,C,1,,,,,,Appartement,193.0,5.0,,
687,2015-09-01,580000.0,D,1,71.04,,,,,Appartement,72.0,3.0,,
688,2015-11-05,90000.0,B,0,,,,,,Maison,41.0,3.0,sols,288.0
689,2016-07-27,40000.0,D,1,,,,,,Dépendance,,0.0,,
690,2016-03-21,43000.0,C,1,,,,,,Dépendance,,0.0,,
691,2015-03-25,350000.0,C,2,29.44,,,,,Appartement,31.0,2.0,,
692,2015-12-16,76000.0,D,1,,,,,,Dépendance,,0.0,,
693,2017-10-12,284000.0,D,1,29.47,,,,,Appartement,30.0,1.0,,
694,2017-12-08,25000.0,B,1,34.99,,,,,Appartement,37.0,1.0,,
695,2016-10-27,85000.0,B,2,,67.69,,,,Appartement,67.0,3.0,,
696,2015-06-04,92000.0,D,1,,,,,,Dépendance,,0.0,,
697,2016-11-22,280000.0,D,1,31.63,,,,,Appartement,32.0,2.0,,
698,2018-07-20,111300.0,B,2,,63.25,,,,Appartement,65.0,3.0,,
699,2016-02-04,120000.0,C,1,8.13,,,,,Dépendance,,0.0,,
700,2015-05-13,55000.0,A,0,,,,,,Maison,37.0,2.0,sols,510.0
701,2018-02-20,474900.0,D,2,51.62,,,,,Appartement,51.0,1.0,,
702,2019-02-07,70000.0,D,1,,,,,,Dépendance,,0.0,,
703,2015-03-14,78000.0,A,0,,,,,,Maison,67.0,4.0,sols,431.0
704,2018-08-30,1515000.0,D,2,,118.41,,,,Appartement,110.0,4.0,,
705,2019-02-28,265000.0,D,2,,24.79,,,,Appartement,25.0,1.0,,
706,2017-08-24,50000.0,B,0,,,,,,Maison,54.0,3.0,sols,32.0
707,2017-01-03,1318840.0,D,1,135.7,,,,,Appartement,132.0,5.0,,
708,2016-01-08,130000.0,D,1,13.55,,,,,Appartement,15.0,1.0,,
709,2017-02-10,680000.0,D,2,,83.01,,,,Appartement,85.0,4.0,,
710,2016-05-14,64000.0,B,3,,,51.73,,,Appartement,51.0,2.0,,
711,2015-05-26,3213590.0,C,3,182.06,,,,,Appartement,170.0,5.0,,
712,2016-05-13,230000.0,D,1,24.84,,,,,Appartement,24.0,1.0,,
713,2016-04-08,140000.0,D,2,11.77,5.01,,,,Appartement,15.0,1.0,,
714,2019-02-15,22000.0,D,1,4.18,,,,,Dépendance,,0.0,,
715,2017-08-29,1678100.0,D,3,189.11,,,,,Appartement,178.0,5.0,,
716,2016-07-20,417000.0,D,2,,,,,,Appartement,58.0,3.0,,
717,2019-09-25,105200.0,B,1,,,,,,Appartement,71.0,3.0,,
718,2017-07-20,115000.0,A,0,,,,,,Maison,90.0,4.0,sols,629.0
719,2019-02-15,339950.0,D,1,28.73,,,,,Appartement,35.0,1.0,,
720,2017-07-13,822000.0,D,2,,91.44,,,,Appartement,94.0,3.0,,
721,2018-01-18,250000.0,B,0,,,,,,Maison,103.0,6.0,sols,115.0
722,2015-12-18,467240.0,D,2,,48.38,,,,Appartement,48.0,2.0,,
723,2015-12-11,231325.0,D,2,31.55,,,,,Appartement,40.0,2.0,,
724,2017-08-01,2044200.0,D,4,220.37,8.91,9.21,,,Appartement,205.0,7.0,,
725,2017-04-20,1105150.0,D,1,123.53,,,,,Appartement,135.0,4.0,,
726,2016-07-20,1140000.0,C,1,64.34,,,,,Appartement,68.0,2.0,,
727,2018-02-28,5320000.0,D,0,,,,,,Local industriel. commercial ou assimilé,450.0,0.0,sols,329.0
728,2018-10-19,124000.0,A,0,,,,,,Maison,68.0,3.0,sols,500.0
729,2016-12-27,43500.0,B,1,36.69,,,,,Appartement,38.0,2.0,,
730,2016-04-20,78000.0,A,0,,,,,,Maison,70.0,3.0,sols,938.0
731,2017-06-03,78000.0,A,0,,,,,,Maison,90.0,4.0,sols,600.0
732,2018-05-04,55000.0,B,2,53.59,,,,,Appartement,57.0,2.0,,
733,2018-09-28,80000.0,A,0,,,,,,Maison,72.0,5.0,sols,360.0
734,2017-11-03,80000.0,D,1,9.01,,,,,Dépendance,,0.0,,
735,2018-07-18,240000.0,D,1,32.22,,,,,Appartement,30.0,1.0,,
736,2016-05-24,55000.0,B,2,29.62,,,,,Appartement,36.0,1.0,,
737,2017-02-27,420000.0,D,1,48.75,,,,,Appartement,48.0,2.0,,
738,2017-12-12,835000.0,D,2,,98.72,,,,Appartement,80.0,4.0,,
739,2019-07-19,540000.0,D,1,50.58,,,,,Appartement,48.0,2.0,,
740,2015-10-15,296000.0,D,3,30.96,,,,,Appartement,30.0,1.0,,
741,2019-03-19,50000.0,B,1,,,,,,Appartement,60.0,3.0,,
742,2017-02-17,520000.0,D,2,,54.08,,,,Appartement,55.0,2.0,,
743,2015-06-19,89113.0,B,1,,,,,,Appartement,74.0,3.0,,
744,2015-07-27,642000.0,C,2,60.35,,,,,Appartement,60.0,2.0,,
745,2018-12-12,80000.0,B,1,57.16,,,,,Appartement,52.0,2.0,,
746,2018-05-22,180000.0,B,1,79.83,,,,,Appartement,85.0,3.0,,
747,2018-06-06,65000.0,D,1,,,,,,Dépendance,,0.0,,
748,2019-04-27,45000.0,A,0,,,,,,Maison,45.0,2.0,sols,119.0
749,2018-07-31,670000.0,D,1,67.6,,,,,Appartement,68.0,1.0,,
750,2017-02-02,1.0,D,1,,,,,,Dépendance,,0.0,,
751,2019-01-19,40500.0,B,1,21.92,,,,,Appartement,22.0,1.0,,
752,2019-12-18,66000.0,B,1,51.11,,,,,Appartement,52.0,2.0,,
753,2018-03-16,117500.0,D,1,12.14,,,,,Appartement,10.0,1.0,,
754,2015-10-27,220000.0,C,1,21.47,,,,,Appartement,25.0,1.0,,
755,2018-01-12,470000.0,B,0,,,,,,Maison,227.0,8.0,sols,357.0
756,2016-07-26,547343.0,D,2,,66.8,,,,Appartement,67.0,2.0,,
757,2016-03-31,50000.0,D,1,,,,,,Dépendance,,0.0,,
758,2017-09-11,55000.0,D,1,,,,,,Dépendance,,0.0,,
759,2018-09-20,110000.0,B,2,63.51,,,,,Appartement,63.0,3.0,,
760,2017-04-29,5500.0,B,1,,,,,,Dépendance,,0.0,,
